Strain,Light,Replicate,SampleInfo,Treatment,CellsFiltered,fgC,totalCcaptured,mlFiltered,extractVol_ul,x20x2D30x2DdihydroxybenzoicAcid,x20x2D30x2Ddihydroxypropane1sulfonate,x30x2DmercaptoProprionate,x30x2Dmethyl0x2D20x2DoxobutanoicAcid,x30x2Dmethyl0x2D20x2DoxopentanoicAcid,x40x2DaminobenzoicAcid,x40x2DhydroxybenzoicAcid,x40x2Dmethyl0x2D20x2DoxopentanoicAcid,x50x270x2DDeoxy0x2D50x270x28methylthio0x29adenosine,AmMP,D0x2Dglucosamine60x2Dphosphate,DMSP,GABA,HMP,NADPos,Putrescine,acetyltaurine,adeninePos,adenosine,adenosine50x270x2DmonophosphatePos,alpha0x2DketoglutaricAcid,arginine,asparticAcidPos,betaine,biotinNeg,caffeine,chitobiosePos,chitotriose,choline,ciliatine,citricAcid,citrulline,cyanocobalamin,cytosine,desthiobiotinPos,dihydroxyacetonePhosphate,ectoine,folicAcidNeg,fosfomycin,fumaricAcid,glucose6P,glutamicAcid,glutamine,glyphosate,guanine,guanosinePos,heminII,indole30x2DaceticAcid,inosine,inosine50x270x2DmonophosphateNeg,isoleucine,l0x2Dcysteine,l0x2Dglutathione,l0x2Dkynurenine,l0x2Dleucine,l0x2Dtyrosine,malicAcid,methionine,muramicAcid,n0x2DacetylGlucosamine,n0x2DacetylGlutamicAcid,n0x2DacetylMuramicAcidPos,ornithine,oroticAcid,pantothenicAcidNeg,phenylalanine,phosphoenolpyruvate,phycocyanobilin,proline,pyridoxine,riboflavin,s0x2D0x2810x2D20x2Ddicarboxyethyl0x29glutathionePos,s0x2D0x2850x270x2Dadenosyl0x290x2DL0x2DhomocysteinePos,s0x2Dadenosyl0x2DL0x2Dmethionine,sarcosine,serine,sn0x2Dglycerol30x2DphosphatePos,sodiumTaurocholate,spermidine,succinicAcid,syringicAcid,taurine,thiamine,thiamineMonophosphate,threonine0x28isom0x2EHomoserine0x29,thymidine,tryptamine,tryptophan,uracilPos,uridine50x2DmonophosphatePos,valine,xanthinePos,xanthosineNeg
s9301ax,10,A,extracellular,replete,7841681762.57464,30,235250452877.239,33.2,75,0,0,0,1.72045163999568e-06,9.16012923478922e-08,1.98763459308206e-09,7.60903238809679e-08,1.81350199619486e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.91374973632602e-09,0,0,0,0,0,0,0,0,0,1.14058147406247e-08,0,0,0,0,0,0,0,0,2.75293344249572e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22510763557893e-06,0,9.61176426786187e-10,0,0,0,0,0
s9301ax,10,A,filter,replete,7841681762.57464,30,235250452877.239,33.2,150,0,0,0,0,1.4878058499749e-09,0,0,0,0,0,0,0,0,0,5.44671694912994e-08,0,0,0,0,4.84970873290204e-08,0,1.10902135709254e-08,0,9.0050427360141e-09,0,0,0,0,0,0,0,5.19857480380038e-09,0,0,0,4.91590166502125e-09,0,0,0,0,0,1.58184959718134e-08,2.54129943215612e-09,0,0,0,4.37007142044524e-09,0,0,0,0,0,3.96142010628803e-09,0,0,5.78801254365982e-09,0,0,0,0,2.13213994745355e-08,0,0,0,0,3.82608588899152e-09,0,0,3.038153294119e-09,0,0,0,1.72174928375752e-09,7.39145258854774e-09,0,0,0,0,5.10199165737743e-09,0,0,0,0,0,0,0,0,1.33255971115378e-09,0,0,0,0,0
s9301ax,10,B,extracellular,replete,4871513269.17539,30,146145398075.262,32.9,75,0,2.26793594966896e-08,0,0,1.53883663240462e-07,2.39190400005044e-09,1.4045313634767e-07,2.88691461565565e-07,0,0,0,0,0,0,0,1.38596397530516e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.86475241106221e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,2.03772274251734e-09,0,0,0,0,0,0,1.82730977582155e-06,0,0,0,0,0,0,0
s9301ax,10,B,filter,replete,4871513269.17539,30,146145398075.262,32.9,150,0,0,0,0,1.84747521000255e-09,0,0,1.28898345401878e-09,0,0,0,0,0,0,1.01656343802781e-07,0,0,0,0,7.2400301557824e-08,0,2.0477488590039e-08,1.45495736842623e-09,0,0,0,0,0,0,0,0,4.96600788295416e-09,0,0,0,9.55378366706514e-09,0,0,0,0,0,2.61546532244877e-08,3.2147425167133e-09,0,0,0,6.01926664478092e-09,0,0,3.27381339525786e-09,0,0,0,0,0,1.04841405675925e-08,0,0,0,0,3.59401703207394e-08,0,0,0,0,7.15022690795047e-09,0,0,5.6595296397691e-09,0,0,0,3.10518366073459e-09,1.49040581872554e-08,0,0,0,0,8.54673605690693e-09,0,0,0,0,0,0,0,0,2.32856873212629e-09,0,0,0,0,0
s9301ax,10,C,extracellular,replete,5636914724.83369,30,169107441745.011,33,75,0,0,0,2.04959033595021e-06,9.94618353478956e-08,2.70347572592016e-09,1.20564495490751e-07,2.70269836036614e-07,0,0,0,0,0,0,0,1.55482733146897e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33515528655198e-09,0,0,0,0,0,0,0,0,0,7.82554753164278e-09,0,0,0,0,0,0,0,0,4.1043288626038e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.43852071734704e-10,0,0,0,0,0,1.92945208930298e-06,0,0,0,0,0,0,0
s9301ax,10,C,filter,replete,5636914724.83369,30,169107441745.011,33,150,0,0,0,0,1.16196542252877e-09,0,0,0,0,0,0,0,0,0,7.57709191124202e-08,0,0,0,0,5.13489633318028e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.10537088993691e-08,1.70575166326658e-09,0,0,0,6.52329298549534e-09,0,0,0,0,0,0,0,0,9.5819079525326e-09,0,0,0,0,2.9077824675227e-08,0,0,0,0,6.46492856688602e-09,0,0,2.10406317900228e-09,0,0,0,2.3056822206573e-09,9.71419098761017e-09,0,0,0,0,8.0735946776922e-09,0,0,0,0,0,0,0,0,2.22388424844734e-09,0,0,1.09137479256982e-09,0,0
s9301ax,50,A,extracellular,replete,7877938670.2346,30,236338160107.038,32.9,75,0,0,0,1.49808358416955e-06,2.02235289239866e-07,1.77872869795506e-09,7.83720272065715e-08,1.21272319215722e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4036011031672e-09,0,0,0,0,0,0,0,0,0,6.17867829539233e-09,0,0,0,0,0,0,0,0,2.17751939792538e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45219069081096e-06,0,0,0,0,0,0,0
s9301ax,50,A,filter,replete,7877938670.2346,30,236338160107.038,32.9,150,0,0,0,0,1.11855402394718e-09,0,0,8.90588299006277e-10,1.26428434462175e-09,0,0,0,0,0,1.12222463004463e-07,0,0,0,0,4.50137643991757e-08,1.09554209521155e-08,9.26799891951411e-09,0,0,0,0,0,0,0,0,0,2.6431553675611e-09,0,0,0,0,0,0,0,0,0,1.84700866723617e-08,0,0,0,4.97265346682904e-10,4.37856369917216e-09,0,0,0,0,0,4.17253553224872e-09,0,0,3.72145655405415e-09,0,3.39475909429518e-09,0,0,2.36428364000382e-08,0,0,0,0,6.29468742991909e-09,0,0,3.99058231389535e-09,0,0,0,3.21512621218926e-09,4.26562022612149e-08,0,0,0,0,5.52115987489193e-09,0,0,0,0,0,0,0,0,2.17767516281184e-09,0,2.26798971080312e-08,2.06009970150917e-09,0,0
s9301ax,50,B,extracellular,replete,7216215711.8132,30,216486471354.396,33.6,75,0,0,0,3.60821936797537e-06,2.25221939685063e-07,2.59927166360641e-09,8.87511871633691e-08,9.85988668180492e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2291095456148e-09,0,0,0,0,0,0,0,0,0,2.20485674843895e-08,0,0,0,0,0,0,0,0,2.25042660484628e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.21725314911507e-06,0,0,0,0,2.64693641532173e-10,0,0
s9301ax,50,B,filter,replete,7216215711.8132,30,216486471354.396,33.6,150,0,0,0,0,1.38847013450523e-09,0,0,0,1.36356008525657e-09,0,0,0,0,0,1.58728032953655e-07,0,0,0,0,5.57815660416778e-08,1.0714721432427e-08,0,0,0,0,0,0,0,0,0,0,2.65838353467704e-09,0,0,0,0,0,0,0,0,0,2.31034173951247e-08,0,0,0,0,3.86296280013863e-09,0,0,0,0,0,0,0,0,4.13353727203998e-09,0,0,0,0,2.78147207672034e-08,0,0,0,0,6.25222763037401e-09,0,0,5.3445614145791e-09,0,0,0,2.8264002503126e-09,5.50231872121125e-08,0,0,0,0,6.38182314468023e-09,0,0,0,0,0,0,0,0,2.30164542298926e-09,0,2.84981192738971e-08,0,0,0
s9301ax,50,C,extracellular,replete,6071740477.19058,30,182152214315.717,32.2,75,0,0,0,0,2.16022792190259e-07,2.6127774479297e-09,7.74026534646071e-08,4.55115308530418e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21598528980739e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.54712828496001e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.72546527340429e-06,0,0,0,0,3.25434110870206e-10,0,0
s9301ax,50,C,filter,replete,6071740477.19058,30,182152214315.717,32.2,150,0,0,0,0,1.18928007992548e-09,0,0,1.3663298079299e-10,1.75916929806568e-09,0,0,0,0,0,1.54214181807684e-07,0,0,0,0,5.98563535478703e-08,1.15117237284064e-08,6.85438233049711e-09,0,0,0,0,0,0,0,0,0,1.88464137929277e-09,0,0,0,0,0,0,0,0,0,2.4375524876658e-08,0,0,0,3.12913051646138e-10,0,0,0,0,0,0,4.39871249472091e-09,0,0,4.39710323222733e-09,0,3.50069915905142e-09,0,0,2.30983285598524e-08,0,0,0,0,5.44958195466083e-09,0,0,2.55047472828661e-09,0,0,0,3.11912855129132e-09,4.6803571405051e-08,0,0,0,0,6.38504141643937e-09,0,0,0,0,0,0,0,0,2.547317728046e-09,0,2.55815807631056e-08,1.82680161302847e-09,0,0
s9313ax,5,A,extracellular,replete,3747369677.72413,158,592084409080.413,30.6,75,0,0,0,1.42410826435683e-05,7.87359739971759e-07,7.93569100857873e-10,1.04277209941527e-07,1.02891539701441e-06,3.02100620387007e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.69726017373528e-09,0,0,0,0,2.25907285862233e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,7.08275815486649e-08,7.15062347339649e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.84695131473018e-07,0,1.90762616250689e-08,0,0,2.10916096735799e-09,0,1.38979428919136e-08
s9313ax,5,A,filter,replete,3747369677.72413,158,592084409080.413,30.6,150,0,0,0,0,6.75407076874554e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.97980932857618e-08,2.44386768187187e-08,1.50249558281777e-09,0,1.59931073963845e-05,0,0,1.76337246951327e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.21587616551e-08,0,0,0,0,1.15532895135433e-08,0,0,0,1.50238653749558e-08,0,0,0,2.19046602108376e-08,9.49419550704936e-09,0,4.51532058798144e-09,0,0,2.10608047150763e-08,0,0,0,2.55125742926074e-09,5.39307377816478e-09,0,0,4.00345730746141e-09,0,0,0,6.31028770163813e-09,8.83214171171459e-09,0,0,0,0,1.51223642811297e-08,0,0,0,0,0,0,0,0,7.25572325683366e-09,0,0,2.34890736307185e-08,0,0
s9313ax,5,B,extracellular,replete,3705941112.70847,158,585538695807.939,31,75,0,0,0,1.37298875468371e-05,6.31257245167466e-07,1.6017584190403e-09,1.09048444388563e-07,1.1463088568317e-06,5.05955697651361e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.35120629785194e-09,0,0,0,0,2.85333832047423e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,7.67461825110904e-08,7.13937810836842e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,2.90935642380019e-09,0,0,0,0,0,4.31127687326383e-07,0,2.30208392336643e-08,0,0,1.43959895463628e-09,0,1.4955884018013e-08
s9313ax,5,B,filter,replete,3705941112.70847,158,585538695807.939,31,150,0,0,0,0,3.56913388468094e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.06200446594422e-08,2.62933070819158e-08,1.14278301174233e-09,0,1.36709852368718e-05,0,0,4.38048353578577e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.44148845263551e-08,0,0,0,0,5.62315253691482e-08,0,0,0,1.3026863739889e-08,0,0,0,0,1.02381691903121e-08,0,6.87213995031422e-09,0,0,2.29456819396274e-08,0,0,0,2.67339930414432e-09,6.92546401682073e-09,0,0,4.37430043715941e-09,0,0,0,6.41108043093731e-09,1.15240250654062e-08,0,0,0,0,1.50927682349248e-08,0,0,0,0,0,0,0,0,7.47087536191473e-09,1.03404331767794e-08,0,2.21521026357319e-08,0,0
s9313ax,5,C,extracellular,replete,2744917796.36994,158,433697011826.451,29.6,75,0,0,0,1.31967231121711e-05,4.04205703763034e-07,1.18455475762698e-09,1.23391702808754e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.36195555871037e-08,7.21786951850636e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,3.69689539461055e-09,0,0,0,0,0,5.02648383891649e-07,0,2.23615717183708e-08,0,0,1.43971631226428e-09,0,0
s9313ax,5,C,filter,replete,2744917796.36994,158,433697011826.451,29.6,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.20671227504333e-07,2.46098161924652e-08,2.85606469329905e-09,0,2.97123401093787e-05,0,0,3.70074861353384e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4828780436614e-08,0,0,0,0,2.25995193418126e-08,0,0,0,0,0,0,0,3.04297354403303e-08,1.51958436590028e-08,0,5.80136845182247e-09,0,0,3.4571009808393e-08,0,0,0,3.44306842167095e-09,9.90403168693515e-09,0,0,4.23281588584947e-09,0,0,0,8.85987017656364e-09,1.41138297642005e-08,0,0,0,0,2.1139142583221e-08,0,0,0,0,0,0,0,0,1.11723218692898e-08,1.71982060857475e-08,0,3.27872090975666e-08,0,0
s9313ax,10,A,extracellular,replete,4455013254.6444,158,703892094233.815,33.2,75,0,0,0,1.52692780013343e-05,7.42256624517989e-07,2.82331092039546e-09,9.35984068064642e-08,7.5522154096768e-07,5.68752355400793e-09,0,0,0,0,0,0,4.13144889201717e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.66244161788073e-09,0,3.41435913682923e-10,0,0,0,0,0,0,0,0,7.31613310159321e-08,6.77330799187205e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38804049862679e-09,0,0,0,0,0,1.05901612615119e-06,0,1.27585767118384e-08,0,0,0,0,0
s9313ax,10,A,filter,replete,4455013254.6444,158,703892094233.815,33.2,150,0,0,0,0,2.10430350352533e-09,0,0,6.62130465476124e-10,3.6837754367477e-09,0,0,0,0,0,0,0,0,0,0,6.47995982953108e-08,4.83582619136177e-08,0,0,2.76688107765151e-05,0,0,5.44647622677009e-08,0,0,0,0,0,0,0,0,3.67747849635666e-09,0,0,0,0,0,4.69460580199688e-08,3.45542143441458e-09,0,0,0,3.24005215553869e-08,0,0,0,8.85548060999888e-09,0,5.24246567254541e-09,0,1.52376914388958e-08,1.30847596579314e-08,0,0,0,0,2.94151997415876e-08,0,0,0,2.55590421582075e-09,1.04284638637207e-08,0,0,3.0691542085738e-09,0,0,0,9.53549298560207e-09,1.41060676570254e-08,0,0,0,0,1.99650874091134e-08,0,0,0,0,0,0,0,0,8.55627253665581e-09,0,0,1.57662110288217e-08,0,0
s9313ax,10,B,extracellular,replete,7217678976.0703,158,1140393278219.11,33.1,75,0,0,0,8.94284865501736e-06,4.51091820271762e-07,1.2616977683399e-09,5.90490681743318e-08,7.14699683688947e-07,2.65960786909498e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.99012502886772e-09,0,0,0,0,0,0,0,0,0,0,3.81381368532225e-08,2.94786672105225e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.85275768648076e-07,0,6.23183700482765e-09,0,0,0,8.30371790564076e-10,0
s9313ax,10,B,filter,replete,7217678976.0703,158,1140393278219.11,33.1,150,0,0,0,0,2.08030864905202e-09,0,0,1.72825641613553e-10,1.83517678132963e-09,0,0,0,0,0,0,0,0,0,0,8.11567163254295e-08,3.74541233932061e-08,1.11839500453781e-09,8.8854961643575e-10,1.77202434339743e-05,0,0,7.16798797290204e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44831240445356e-09,4.28075773472528e-08,4.21447872808818e-09,0,0,0,3.28160337226106e-08,0,0,6.34479469867396e-09,5.59670055381292e-09,0,0,0,1.36322943438898e-08,8.59861840418395e-09,0,0,0,0,2.11612929929854e-08,0,0,0,1.99251897870104e-09,7.55202244226776e-09,0,0,1.94462268536565e-09,0,0,0,6.98843165742209e-09,8.09388183887056e-09,0,0,0,0,1.15716218549363e-08,0,0,0,0,0,0,0,0,5.72859531255037e-09,0,0,1.17390909353429e-08,0,0
